"X0","","","Kwikpro Output 70"
"X1","","","Kwikpro Output 71Robot is in glue"
"X2","","","Kwikpro Output 72 Robot @ between heads"
"X3","","","Kwikpro Output 73 Robot in Alcohol"
"X4","","","Kwikpro Output 74"
"X5","","","Kwikpro Output 75"
"X6","","","Kwikpro Output 76"
"X7","","","Kwikpro Output 77"
"X8","","","Kwikpro Output 78 Set Left Interference bit. Robot in zone"
"X9","","","Kwikpro Output 79 Set Right Interference bit. Robot in zone"
"X10","","","Kwikpro Output 80 Robot tell the glue dispense to start"
"X11","","","Kwikpro Output 81"
"X12","","","Kwikpro Output 82"
"X13","","","Kwikpro Output 83"
"X14","","","Kwikpro Output 84"
"X15","","","Kwikpro Output 85 CLEAN.JOB has run"
"X16","","","Kwikpro Output 86 MAIN.JOB Paused Waiting for input"
"X17","","","Kwikpro Output 87 HOME.JOB has run"
"X18","","","Kwikpro Output 88 MAIN.JOB Running"
"X19","","","Kwikpro Output 89 Not Wired"
"X20","","","Left rocker smartmotor homed"
"X21","","","Left rocker smartmotor is faulted"
"X22","","","Right rocker smartmotor  homed"
"X23","","","Right rocker smartmotor is faulted"
"X24","","","Dispense glue OUT1 Homing Complete"
"X25","","","Dispense glue OUT2 Alarm"
"X26","","","Dispense glue OUT3 Motor is moving"
"X27","","","Dispense glue OUT4 Sequence running"
"X28","","","UV light OUT1 Homing Complete"
"X29","","","UV light OUT2 Alarm"
"X30","","","UV light OUT3 Motor is moving"
"X31","","","UV light OUT4 Sequence running"
"X32","","","Left shuttle OUT1 Homing Complete"
"X33","","","Left shuttle OUT2 Alarm"
"X34","","","Left shuttle OUT3 Motor is moving"
"X35","","","Left shuttle OUT4 Sequence running"
"X36","","","Left carrier OUT1 Homing Complete"
"X37","","","Left carrier OUT2 Alarm"
"X38","","","Left carrier OUT3 Motor is moving"
"X39","","","Left carrier OUT4 Sequence running"
"X40","","","Left slide OUT1 Homing Complete"
"X41","","","Left slide OUT2 Alarm"
"X42","","","Left slide OUT3 Motor is moving"
"X43","","","Left slide OUT4 Sequence running"
"X44","","","Left air blow off OUT1 Homing Complete"
"X45","","","Left air blow off OUT2 Alarm"
"X46","","","Left air blow off OUT3 Motor is moving"
"X47","","","Left air blow off OUT4 Sequence running"
"X48","","","Right shuttle OUT1 Homing Complete"
